VRM,MAKE,MODEL,AGE_GROUP,BODY_TYPE,FUEL_TYPE,TRANSMISSION_TYPE,COLOUR,PRICE,MILEAGE,RETAIL_DESIRABILITY_SCORE,PASSENGERS
DP21NZD,RENAULT,MEGANE,3-4 years old,hatchback,DIESEL,semiAutomatic,BLACK,10650,67170,0.5945080315,5
GD21HGL,PEUGEOT,508,3-4 years old,estate,PETROL,semiAutomatic,WHITE,15150,42513,0.6289798721,7
LE21FVL,BMW,3 SERIES,3-4 years old,saloon,PETROLPLUGINELECTRICHYBRID,semiAutomatic,WHITE,20800,40881,0.8617465987,5
AR21KFK,AUDI,Q2,3-4 years old,suv,PETROL,semiAutomatic,BLUE,20350,28310,0.5770986399,8
KX68WMC,FORD,FOCUS,5-6 years old,hatchback,PETROL,automatic,BLUE,11450,31276,0.5279788549,5
SN18ZXV,PEUGEOT,2008,7-8 years old,suv,DIESEL,manual,WHITE,10350,37389,0.6357136194,8
DU69NYR,RENAULT,GRAND SCENIC,5-6 years old,mpv,PETROL,manual,BROWN,11100,77892,0.5481580525,8
AU19KFV,BMW,5 SERIES,5-6 years old,saloon,DIESEL,semiAutomatic,BLACK,21600,28943,0.6964313967,5
PK21FXD,BMW,X2,3-4 years old,suv,PETROLPLUGINELECTRICHYBRID,semiAutomatic,ORANGE,20900,14127,0.8399770486,8
KR22DVG,VAUXHALL,CORSA,3-4 years old,hatchback,DIESEL,manual,WHITE,11250,20754,0.6289261404,5
YB22YEE,TOYOTA,AYGO X,0-2 years old,hatchback,PETROL,manual,GREEN,12100,13159,0.6589083421,5
ML22XPO,TOYOTA,C-HR,3-4 years old,suv,PETROLELECTRICHYBRID,automatic,GREY,18150,30341,0.6514316148,8
SB73NVT,NISSAN,QASHQAI,0-2 years old,suv,PETROL,manual,GREY,20150,14621,0.7330659407,8
VN22ZVX,VAUXHALL,CORSA,3-4 years old,hatchback,PETROL,manual,BLUE,13350,17619,0.7072068723,5
FV22VLA,NISSAN,QASHQAI,3-4 years old,suv,PETROL,manual,GREY,17760,26367,0.6262746266,8
SA69YXK,HONDA,CIVIC,5-6 years old,hatchback,PETROL,manual,RED,14950,39037,0.7909045651,5
LX69FFB,JEEP,RENEGADE,5-6 years old,suv,PETROL,manual,WHITE,13700,20387,0.6747738771,8
NA70UPZ,VOLVO,XC40,3-4 years old,suv,PETROLPLUGINELECTRICHYBRID,semiAutomatic,BLUE,19450,65486,0.7494379774,8
DA22PBF,VOLKSWAGEN,T-CROSS,3-4 years old,suv,PETROL,manual,WHITE,14400,44598,0.8035962493,8
RE73KUH,VOLKSWAGEN,ID.3,0-2 years old,hatchback,ELECTRIC,automatic,GREY,18400,29469,0.5164828554,5
CV69YAW,VOLVO,XC40,5-6 years old,suv,PETROL,manual,BLACK,20400,17769,0.8089152507,8
LS69VXG,AUDI,A1,5-6 years old,hatchback,PETROL,manual,BLACK,16100,23370,0.7822279392,5
HJ18WFC,NISSAN,QASHQAI,7-8 years old,suv,DIESEL,manual,BLUE,12950,39042,0.6122649014,8
YR72SRX,NISSAN,LEAF,0-2 years old,hatchback,ELECTRIC,automatic,BLACK,11350,24742,0.3962476314,5
OU72VHP,BMW,3 SERIES,0-2 years old,saloon,PETROL,semiAutomatic,WHITE,25900,10069,0.8637236279,5
FY22PMO,FORD,KUGA,3-4 years old,suv,DIESEL,manual,SILVER,15950,43348,0.6948635009,8
YV19OJY,SUZUKI,VITARA,5-6 years old,suv,PETROL,manual,SILVER,11600,24090,0.5853239416,8
GL19JRZ,TOYOTA,AYGO,5-6 years old,hatchback,PETROL,manual,GREY,9400,18158,0.6334621188,5
YW23DDU,DACIA,SANDERO STEPWAY,0-2 years old,hatchback,PETROL,manual,ORANGE,12950,29074,0.4787665461,5
PJ70HNG,BMW,X1,3-4 years old,suv,PETROL,semiAutomatic,BLUE,20700,28730,0.7997110096,8
SO19HRK,MERCEDES-BENZ,C-CLASS,5-6 years old,saloon,PETROL,semiAutomatic,BLUE,19350,17039,0.7981230612,5
MK70FDV,KIA,NIRO,3-4 years old,suv,PETROLELECTRICHYBRID,automatic,WHITE,15390,31968,0.7738137936,8
KT67CVH,AUDI,A1,7-8 years old,hatchback,PETROL,semiAutomatic,GREY,14670,19854,0.2801329644,5
HS68YGA,HYUNDAI,KONA,5-6 years old,suv,PETROL,manual,GREY,11750,27965,0.5861852291,8
KP69XEA,VOLKSWAGEN,GOLF,5-6 years old,hatchback,PETROL,semiAutomatic,GREY,16740,39870,0.5307561874,5
M3GVC,HONDA,JAZZ,5-6 years old,hatchback,PETROL,automatic,ORANGE,11650,14582,0.502007096,5
FV68PXT,VOLKSWAGEN,T-ROC,5-6 years old,suv,PETROL,manual,ORANGE,12900,55342,0.4528170029,8
SR70HNG,FORD,KUGA,3-4 years old,suv,DIESEL,manual,WHITE,16500,47700,0.4958560389,8
RE20NUF,VOLKSWAGEN,T-ROC,5-6 years old,suv,PETROL,semiAutomatic,BLUE,20430,29205,0.7672516598,8
EY71YBA,KIA,XCEED,3-4 years old,hatchback,PETROL,manual,ORANGE,12890,27000,0.7216002101,5
FV69XMR,HONDA,JAZZ,5-6 years old,hatchback,PETROL,manual,WHITE,10250,39279,0.6326063553,5
GL19DSO,FORD,FIESTA,5-6 years old,hatchback,PETROL,manual,BLUE,10750,24984,0.6879976311,5
AR21JGF,AUDI,A1,3-4 years old,hatchback,PETROL,manual,WHITE,15900,50894,0.6677291103,5
CA72AVK,CITROEN,C3 AIRCROSS,0-2 years old,suv,PETROL,manual,BLACK,13650,14885,0.6760938951,8
BD69OYY,SEAT,LEON,5-6 years old,estate,PETROL,manual,BLUE,11900,53339,0.668631507,7
WGZ1405,TOYOTA,RAV4,3-4 years old,suv,PETROLELECTRICHYBRID,automatic,BLACK,25350,21820,0.8627539202,8
CF22KGY,PEUGEOT,5008,3-4 years old,suv,PETROL,semiAutomatic,GREY,22500,29511,0.7687186309,8
LA23GUU,MG,MG4,0-2 years old,suv,ELECTRIC,automatic,RED,14950,25380,0.5700672262,8
KJ19VDX,MERCEDES-BENZ,C-CLASS,5-6 years old,convertible,PETROL,semiAutomatic,SILVER,20500,53155,0.5776760711,4
YF21KWE,SEAT,TARRACO,3-4 years old,suv,DIESEL,automatic,BLACK,21100,43559,0.7563139164,8
MD72XZT,FIAT,500,0-2 years old,hatchback,PETROL,manual,BLACK,10400,16557,0.9526462946,5
AE18TFZ,PEUGEOT,3008,7-8 years old,suv,PETROL,manual,GREY,12100,33105,0.6499360062,8
LV68FTE,BMW,X2,5-6 years old,suv,DIESEL,semiAutomatic,GREY,17000,40258,0.3454377564,8
KF17NWK,AUDI,S3,7-8 years old,hatchback,PETROL,semiAutomatic,WHITE,17100,78985,0.6303281981,5
NA23VHP,NISSAN,QASHQAI,0-2 years old,suv,PETROL,semiAutomatic,BLUE,21900,33957,0.531700793,8
EF72YBA,FORD,FOCUS,0-2 years old,hatchback,PETROL,manual,GREY,17550,21681,0.4764944226,5
BJ71APY,SEAT,ARONA,3-4 years old,suv,PETROL,manual,BLACK,12710,39784,0.5120578728,8
LO21MPU,BMW,X1,3-4 years old,suv,PETROLPLUGINELECTRICHYBRID,semiAutomatic,BLUE,20100,34490,0.7981488249,8
CF70EEP,VOLKSWAGEN,T-ROC,3-4 years old,suv,PETROL,manual,WHITE,16600,36544,0.8281509949,8
KK18KHO,HYUNDAI,KONA,7-8 years old,suv,PETROL,manual,GREY,10200,62035,0.5861852291,8
